match,teamInnings,battingPos,batsmanName,runs,balls,4s,6s,SR,out/not_out,match_id
namibia vs sri lanka,Namibia,1,Michael van Lingen,3,6,0,0,50.00,out,T20I # 1823
namibia vs sri lanka,Namibia,2,Divan la Cock,9,9,1,0,100.00,out,T20I # 1823
namibia vs sri lanka,Namibia,3,Jan Nicol Loftie-Eaton,20,12,1,2,166.66,out,T20I # 1823
namibia vs sri lanka,Namibia,4,Stephan Baard,26,24,2,0,108.33,out,T20I # 1823
namibia vs sri lanka,Namibia,5,Gerhard Erasmus(c),20,24,0,0,83.33,out,T20I # 1823
namibia vs sri lanka,Namibia,6,Jan Frylinck,44,28,4,0,157.14,out,T20I # 1823
namibia vs sri lanka,Namibia,7,David Wiese,0,1,0,0,0.00,out,T20I # 1823
namibia vs sri lanka,Namibia,8,JJ Smit,31,16,2,2,193.75,not_out,T20I # 1823
namibia vs sri lanka,Sri Lanka,1,Pathum Nissanka,9,10,1,0,90.00,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,2,Kusal Mendis,6,6,0,0,100.00,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,3,Dhananjaya de Silva,12,11,1,0,109.09,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,4,Danushka Gunathilaka,0,1,0,0,0.00,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,5,Bhanuka Rajapaksa,20,21,2,0,95.23,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,6,Dasun Shanaka(c),29,23,2,1,126.08,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,7,Wanindu Hasaranga de Silva,4,8,0,0,50.00,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,8,Chamika Karunaratne,5,8,0,0,62.50,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,9,Pramod Madushan,0,0,0,0,-,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,10,Dushmantha Chameera,8,15,0,0,53.33,out,T20I # 1823
namibia vs sri lanka,Sri Lanka,11,Maheesh Theekshana,11,11,0,1,100.00,not_out,T20I # 1823
u.a.e. vs netherlands,U.A.E.,1,Chirag Suri,12,20,1,0,60.00,out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,2,Muhammad Waseem,41,47,1,2,87.23,out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,3,Kashif Daud,15,14,0,1,107.14,out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,4,Vriitya Aravind,18,21,0,0,85.71,out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,5,Zawar Farid,2,4,0,0,50.00,out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,6,Basil Hameed,4,4,1,0,100.00,out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,7,Chundangapoyil Rizwan(c),1,2,0,0,50.00,out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,8,Aayan Afzal Khan,5,7,0,0,71.42,out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,9,Karthik Meiyappan,0,0,0,0,-,not_out,T20I # 1825
u.a.e. vs netherlands,U.A.E.,10,Junaid Siddique,0,1,0,0,0.00,not_out,T20I # 1825
u.a.e. vs netherlands,Netherlands,1,Vikramjit Singh,10,7,2,0,142.85,out,T20I # 1825
u.a.e. vs netherlands,Netherlands,2,Max O'Dowd,23,18,3,1,127.77,out,T20I # 1825
u.a.e. vs netherlands,Netherlands,3,Bas de Leede,14,18,1,0,77.77,out,T20I # 1825
u.a.e. vs netherlands,Netherlands,4,Colin Ackermann,17,19,1,0,89.47,out,T20I # 1825
u.a.e. vs netherlands,Netherlands,5,Tom Cooper,8,16,0,0,50.00,out,T20I # 1825
u.a.e. vs netherlands,Netherlands,6,Scott Edwards(c),16,19,0,0,84.21,not_out,T20I # 1825
u.a.e. vs netherlands,Netherlands,7,Roelof van der Merwe,0,2,0,0,0.00,out,T20I # 1825
u.a.e. vs netherlands,Netherlands,8,Tim Pringle,15,16,0,0,93.75,out,T20I # 1825
u.a.e. vs netherlands,Netherlands,9,Logan van Beek,4,4,0,0,100.00,not_out,T20I # 1825
scotland vs west indies,Scotland,1,George Munsey,66,53,9,0,124.52,not_out,T20I # 1826
scotland vs west indies,Scotland,2,Michael Jones,20,17,3,0,117.64,out,T20I # 1826
scotland vs west indies,Scotland,3,Matthew Cross,3,5,0,0,60.00,out,T20I # 1826
scotland vs west indies,Scotland,4,Richie Berrington(c),16,14,0,1,114.28,out,T20I # 1826
scotland vs west indies,Scotland,5,Calum MacLeod,23,14,4,0,164.28,out,T20I # 1826
scotland vs west indies,Scotland,6,Michael Leask,4,6,0,0,66.66,out,T20I # 1826
scotland vs west indies,Scotland,7,Chris Greaves,16,11,2,0,145.45,not_out,T20I # 1826
scotland vs west indies,West Indies,1,Kyle Mayers,20,13,3,1,153.84,out,T20I # 1826
scotland vs west indies,West Indies,2,Evin Lewis,14,13,1,1,107.69,out,T20I # 1826
scotland vs west indies,West Indies,3,Brandon King,17,15,3,0,113.33,out,T20I # 1826
scotland vs west indies,West Indies,4,Nicholas Pooran(c),5,9,0,0,55.55,out,T20I # 1826
scotland vs west indies,West Indies,5,Shamarh Brooks,4,9,0,0,44.44,out,T20I # 1826
scotland vs west indies,West Indies,6,Rovman Powell,5,6,0,0,83.33,out,T20I # 1826
scotland vs west indies,West Indies,7,Jason Holder,38,33,4,1,115.15,out,T20I # 1826
scotland vs west indies,West Indies,8,Akeal Hosein,1,1,0,0,100.00,out,T20I # 1826
scotland vs west indies,West Indies,9,Alzarri Joseph,0,1,0,0,0.00,out,T20I # 1826
scotland vs west indies,West Indies,10,Odean Smith,5,8,0,0,62.50,out,T20I # 1826
scotland vs west indies,West Indies,11,Obed McCoy,2,3,0,0,66.66,not_out,T20I # 1826
zimbabwe vs ireland,Zimbabwe,1,Regis Chakabva,0,2,0,0,0.00,out,T20I # 1828
zimbabwe vs ireland,Zimbabwe,2,Craig Ervine(c),9,12,1,0,75.00,out,T20I # 1828
zimbabwe vs ireland,Zimbabwe,3,Wessly Madhevere,22,19,4,0,115.78,out,T20I # 1828
zimbabwe vs ireland,Zimbabwe,4,Sean Williams,12,11,0,1,109.09,out,T20I # 1828
zimbabwe vs ireland,Zimbabwe,5,Sikandar Raza,82,48,5,5,170.83,out,T20I # 1828
zimbabwe vs ireland,Zimbabwe,6,Milton Shumba,16,14,1,0,114.28,out,T20I # 1828
zimbabwe vs ireland,Zimbabwe,7,Ryan Burl,1,4,0,0,25.00,out,T20I # 1828
zimbabwe vs ireland,Zimbabwe,8,Luke Jongwe,20,10,3,0,200.00,not_out,T20I # 1828
zimbabwe vs ireland,Ireland,1,Paul Stirling,0,2,0,0,0.00,out,T20I # 1828
zimbabwe vs ireland,Ireland,2,Andy Balbirnie(c),3,4,0,0,75.00,out,T20I # 1828
zimbabwe vs ireland,Ireland,3,Lorcan Tucker,11,11,2,0,100.00,out,T20I # 1828
zimbabwe vs ireland,Ireland,4,Harry Tector,1,4,0,0,25.00,out,T20I # 1828
zimbabwe vs ireland,Ireland,5,Curtis Campher,27,22,1,0,122.72,out,T20I # 1828
zimbabwe vs ireland,Ireland,6,George Dockrell,24,20,3,0,120.00,out,T20I # 1828
zimbabwe vs ireland,Ireland,7,Gareth Delany,24,20,1,1,120.00,out,T20I # 1828
zimbabwe vs ireland,Ireland,8,Mark Adair,9,10,0,1,90.00,out,T20I # 1828
zimbabwe vs ireland,Ireland,9,Simi Singh,0,1,0,0,0.00,out,T20I # 1828
zimbabwe vs ireland,Ireland,10,Barry McCarthy,22,16,1,2,137.50,not_out,T20I # 1828
zimbabwe vs ireland,Ireland,11,Josh Little,7,11,1,0,63.63,not_out,T20I # 1828
namibia vs netherlands,Namibia,1,Michael van Lingen,20,19,3,0,105.26,out,T20I # 1830
namibia vs netherlands,Namibia,2,Divan la Cock,0,2,0,0,0.00,out,T20I # 1830
namibia vs netherlands,Namibia,3,Stephan Baard,19,22,0,0,86.36,out,T20I # 1830
namibia vs netherlands,Namibia,4,Jan Nicol Loftie-Eaton,0,2,0,0,0.00,out,T20I # 1830
namibia vs netherlands,Namibia,5,Jan Frylinck,43,48,1,1,89.58,out,T20I # 1830
namibia vs netherlands,Namibia,6,Gerhard Erasmus(c),16,18,0,0,88.88,out,T20I # 1830
namibia vs netherlands,Namibia,7,David Wiese,11,5,1,0,220.00,not_out,T20I # 1830
namibia vs netherlands,Namibia,8,JJ Smit,5,4,1,0,125.00,not_out,T20I # 1830
namibia vs netherlands,Netherlands,1,Max O'Dowd,35,35,1,1,100.00,out,T20I # 1830
namibia vs netherlands,Netherlands,2,Vikramjit Singh,39,31,3,2,125.80,out,T20I # 1830
namibia vs netherlands,Netherlands,3,Bas de Leede,30,30,2,0,100.00,not_out,T20I # 1830
namibia vs netherlands,Netherlands,4,Tom Cooper,6,6,1,0,100.00,out,T20I # 1830
namibia vs netherlands,Netherlands,5,Colin Ackermann,0,2,0,0,0.00,out,T20I # 1830
namibia vs netherlands,Netherlands,6,Scott Edwards(c),1,5,0,0,20.00,out,T20I # 1830
namibia vs netherlands,Netherlands,7,Tim Pringle,8,9,0,0,88.88,not_out,T20I # 1830
sri lanka vs u.a.e.,Sri Lanka,1,Pathum Nissanka,74,60,6,2,123.33,out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,2,Kusal Mendis,18,13,2,0,138.46,out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,3,Dhananjaya de Silva,33,21,3,1,157.14,out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,4,Bhanuka Rajapaksa,5,8,0,0,62.50,out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,5,Charith Asalanka,0,1,0,0,0.00,out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,6,Dasun Shanaka(c),0,1,0,0,0.00,out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,7,Wanindu Hasaranga de Silva,2,3,0,0,66.66,out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,8,Chamika Karunaratne,8,11,1,0,72.72,out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,9,Pramod Madushan,1,1,0,0,100.00,not_out,T20I # 1832
sri lanka vs u.a.e.,Sri Lanka,10,Dushmantha Chameera,1,1,0,0,100.00,not_out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,1,Muhammad Waseem,2,4,0,0,50.00,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,2,Chirag Suri,14,19,3,0,73.68,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,3,Aryan Lakra,1,3,0,0,33.33,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,4,Chundangapoyil Rizwan(c),1,3,0,0,33.33,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,5,Vriitya Aravind,9,18,1,0,50.00,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,6,Basil Hameed,2,6,0,0,33.33,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,7,Aayan Afzal Khan,19,21,1,0,90.47,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,8,Kashif Daud,0,4,0,0,0.00,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,9,Karthik Meiyappan,4,8,0,0,50.00,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,10,Junaid Siddique,18,16,1,1,112.50,out,T20I # 1832
sri lanka vs u.a.e.,U.A.E.,11,Zahoor Khan,1,1,0,0,100.00,not_out,T20I # 1832
scotland vs ireland,Scotland,1,George Munsey,1,2,0,0,50.00,out,T20I # 1833
scotland vs ireland,Scotland,2,Michael Jones,86,55,6,4,156.36,out,T20I # 1833
scotland vs ireland,Scotland,3,Matthew Cross,28,21,5,0,133.33,out,T20I # 1833
scotland vs ireland,Scotland,4,Richie Berrington(c),37,27,3,1,137.03,out,T20I # 1833
scotland vs ireland,Scotland,5,Michael Leask,17,13,2,0,130.76,not_out,T20I # 1833
scotland vs ireland,Scotland,6,Calum MacLeod,0,3,0,0,0.00,out,T20I # 1833
scotland vs ireland,Ireland,1,Paul Stirling,8,10,1,0,80.00,out,T20I # 1833
scotland vs ireland,Ireland,2,Andy Balbirnie(c),14,12,2,0,116.66,out,T20I # 1833
scotland vs ireland,Ireland,3,Lorcan Tucker,20,17,2,0,117.64,out,T20I # 1833
scotland vs ireland,Ireland,4,Harry Tector,14,16,1,0,87.50,out,T20I # 1833
scotland vs ireland,Ireland,5,Curtis Campher,72,32,7,2,225.00,not_out,T20I # 1833
scotland vs ireland,Ireland,6,George Dockrell,39,27,4,1,144.44,not_out,T20I # 1833
west indies vs zimbabwe,West Indies,1,Kyle Mayers,13,12,2,0,108.33,out,T20I # 1834
west indies vs zimbabwe,West Indies,2,Johnson Charles,45,36,3,2,125.00,out,T20I # 1834
west indies vs zimbabwe,West Indies,3,Evin Lewis,15,18,1,0,83.33,out,T20I # 1834
west indies vs zimbabwe,West Indies,4,Nicholas Pooran(c),7,9,0,0,77.77,out,T20I # 1834
west indies vs zimbabwe,West Indies,5,Rovman Powell,28,21,1,2,133.33,out,T20I # 1834
west indies vs zimbabwe,West Indies,6,Shamarh Brooks,0,3,0,0,0.00,out,T20I # 1834
west indies vs zimbabwe,West Indies,7,Jason Holder,4,3,0,0,133.33,out,T20I # 1834
west indies vs zimbabwe,West Indies,8,Akeal Hosein,23,18,2,0,127.77,not_out,T20I # 1834
west indies vs zimbabwe,West Indies,9,Odean Smith,1,2,0,0,50.00,not_out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,1,Wessly Madhevere,27,19,3,1,142.10,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,2,Regis Chakabva(c),13,9,3,0,144.44,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,3,Tony Munyonga,2,6,0,0,33.33,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,4,Sean Williams,1,2,0,0,50.00,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,5,Sikandar Raza,14,8,1,1,175.00,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,6,Milton Shumba,2,9,0,0,22.22,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,7,Ryan Burl,17,19,3,0,89.47,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,8,Luke Jongwe,29,22,3,1,131.81,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,9,Richard Ngarava,2,6,0,0,33.33,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,10,Tendai Chatara,3,8,0,0,37.50,out,T20I # 1834
west indies vs zimbabwe,Zimbabwe,11,Blessing Muzarabani,1,4,0,0,25.00,not_out,T20I # 1834
sri lanka vs netherlands,Sri Lanka,1,Pathum Nissanka,14,21,0,1,66.66,out,T20I # 1835
sri lanka vs netherlands,Sri Lanka,2,Kusal Mendis,79,44,5,5,179.54,out,T20I # 1835
sri lanka vs netherlands,Sri Lanka,3,Dhananjaya de Silva,0,1,0,0,0.00,out,T20I # 1835
sri lanka vs netherlands,Sri Lanka,4,Charith Asalanka,31,30,3,0,103.33,out,T20I # 1835
sri lanka vs netherlands,Sri Lanka,5,Bhanuka Rajapaksa,19,13,2,0,146.15,out,T20I # 1835
sri lanka vs netherlands,Sri Lanka,6,Dasun Shanaka(c),8,5,0,1,160.00,out,T20I # 1835
sri lanka vs netherlands,Sri Lanka,7,Wanindu Hasaranga de Silva,5,4,0,0,125.00,not_out,T20I # 1835
sri lanka vs netherlands,Sri Lanka,8,Chamika Karunaratne,2,2,0,0,100.00,not_out,T20I # 1835
sri lanka vs netherlands,Netherlands,1,Max O'Dowd,71,53,6,3,133.96,not_out,T20I # 1835
sri lanka vs netherlands,Netherlands,2,Vikramjit Singh,7,14,0,0,50.00,out,T20I # 1835
sri lanka vs netherlands,Netherlands,3,Bas de Leede,14,10,1,1,140.00,out,T20I # 1835
sri lanka vs netherlands,Netherlands,4,Colin Ackermann,0,1,0,0,0.00,out,T20I # 1835
sri lanka vs netherlands,Netherlands,5,Tom Cooper,16,19,2,0,84.21,out,T20I # 1835
sri lanka vs netherlands,Netherlands,6,Scott Edwards(c),21,15,3,0,140.00,out,T20I # 1835
sri lanka vs netherlands,Netherlands,7,Tim Pringle,2,4,0,0,50.00,out,T20I # 1835
sri lanka vs netherlands,Netherlands,8,Timm van der Gugten,0,1,0,0,0.00,out,T20I # 1835
sri lanka vs netherlands,Netherlands,9,Fred Klaassen,3,3,0,0,100.00,out,T20I # 1835
sri lanka vs netherlands,Netherlands,10,Paul van Meekeren,0,0,0,0,-,out,T20I # 1835
sri lanka vs netherlands,Netherlands,11,Roelof van der Merwe,0,1,0,0,0.00,not_out,T20I # 1835
u.a.e. vs namibia,U.A.E.,1,Muhammad Waseem,50,41,1,3,121.95,out,T20I # 1836
u.a.e. vs namibia,U.A.E.,2,Vriitya Aravind,21,32,2,0,65.62,out,T20I # 1836
u.a.e. vs namibia,U.A.E.,3,Chundangapoyil Rizwan(c),43,29,3,1,148.27,not_out,T20I # 1836
u.a.e. vs namibia,U.A.E.,4,Alishan Sharafu,4,4,0,0,100.00,out,T20I # 1836
u.a.e. vs namibia,U.A.E.,5,Basil Hameed,25,14,2,2,178.57,not_out,T20I # 1836
u.a.e. vs namibia,Namibia,1,Michael van Lingen,10,8,1,0,125.00,out,T20I # 1836
u.a.e. vs namibia,Namibia,2,Stephan Baard,4,6,1,0,66.66,out,T20I # 1836
u.a.e. vs namibia,Namibia,3,Jan Nicol Loftie-Eaton,1,6,0,0,16.66,out,T20I # 1836
u.a.e. vs namibia,Namibia,4,Gerhard Erasmus(c),16,18,2,0,88.88,out,T20I # 1836
u.a.e. vs namibia,Namibia,5,Jan Frylinck,14,17,1,0,82.35,out,T20I # 1836
u.a.e. vs namibia,Namibia,6,JJ Smit,3,3,0,0,100.00,out,T20I # 1836
u.a.e. vs namibia,Namibia,7,David Wiese,55,36,3,3,152.77,out,T20I # 1836
u.a.e. vs namibia,Namibia,8,Zane Green,2,3,0,0,66.66,out,T20I # 1836
u.a.e. vs namibia,Namibia,9,Ruben Trumpelmann,25,24,1,1,104.16,not_out,T20I # 1836
u.a.e. vs namibia,Namibia,10,Bernard Scholtz,1,1,0,0,100.00,not_out,T20I # 1836
west indies vs ireland,West Indies,1,Kyle Mayers,1,5,0,0,20.00,out,T20I # 1837
west indies vs ireland,West Indies,2,Johnson Charles,24,18,3,1,133.33,out,T20I # 1837
west indies vs ireland,West Indies,3,Evin Lewis,13,18,0,0,72.22,out,T20I # 1837
west indies vs ireland,West Indies,4,Brandon King,62,48,6,1,129.16,not_out,T20I # 1837
west indies vs ireland,West Indies,5,Nicholas Pooran(c),13,11,0,1,118.18,out,T20I # 1837
west indies vs ireland,West Indies,6,Rovman Powell,6,8,1,0,75.00,out,T20I # 1837
west indies vs ireland,West Indies,7,Odean Smith,19,12,1,2,158.33,not_out,T20I # 1837
west indies vs ireland,Ireland,1,Paul Stirling,66,48,6,2,137.50,not_out,T20I # 1837
west indies vs ireland,Ireland,2,Andy Balbirnie(c),37,23,3,3,160.86,out,T20I # 1837
west indies vs ireland,Ireland,3,Lorcan Tucker,45,35,2,2,128.57,not_out,T20I # 1837
scotland vs zimbabwe,Scotland,1,George Munsey,54,51,7,0,105.88,out,T20I # 1838
scotland vs zimbabwe,Scotland,2,Michael Jones,4,5,1,0,80.00,out,T20I # 1838
scotland vs zimbabwe,Scotland,3,Matthew Cross,1,7,0,0,14.28,out,T20I # 1838
scotland vs zimbabwe,Scotland,4,Richie Berrington(c),13,15,0,0,86.66,out,T20I # 1838
scotland vs zimbabwe,Scotland,5,Calum MacLeod,25,26,1,0,96.15,out,T20I # 1838
scotland vs zimbabwe,Scotland,6,Michael Leask,12,9,2,0,133.33,out,T20I # 1838
scotland vs zimbabwe,Scotland,7,Chris Greaves,3,7,0,0,42.85,not_out,T20I # 1838
scotland vs zimbabwe,Scotland,8,Josh Davey,4,3,0,0,133.33,not_out,T20I # 1838
scotland vs zimbabwe,Zimbabwe,1,Regis Chakabva,4,3,1,0,133.33,out,T20I # 1838
scotland vs zimbabwe,Zimbabwe,2,Craig Ervine(c),58,54,6,0,107.40,out,T20I # 1838
scotland vs zimbabwe,Zimbabwe,3,Wessly Madhevere,0,5,0,0,0.00,out,T20I # 1838
scotland vs zimbabwe,Zimbabwe,4,Sean Williams,7,12,0,0,58.33,out,T20I # 1838
scotland vs zimbabwe,Zimbabwe,5,Sikandar Raza,40,23,3,2,173.91,out,T20I # 1838
scotland vs zimbabwe,Zimbabwe,6,Milton Shumba,11,11,0,0,100.00,not_out,T20I # 1838
scotland vs zimbabwe,Zimbabwe,7,Ryan Burl,9,5,1,0,180.00,not_out,T20I # 1838
new zealand vs australia,New Zealand,1,Finn Allen,42,16,5,3,262.50,out,T20I # 1839
new zealand vs australia,New Zealand,2,Devon Conway,92,58,7,2,158.62,not_out,T20I # 1839
new zealand vs australia,New Zealand,3,Kane Williamson(c),23,23,1,1,100.00,out,T20I # 1839
new zealand vs australia,New Zealand,4,Glenn Phillips,12,10,2,0,120.00,out,T20I # 1839
new zealand vs australia,New Zealand,5,James Neesham,26,13,0,2,200.00,not_out,T20I # 1839
new zealand vs australia,Australia,1,David Warner,5,6,1,0,83.33,out,T20I # 1839
new zealand vs australia,Australia,2,Aaron Finch(c),13,11,1,1,118.18,out,T20I # 1839
new zealand vs australia,Australia,3,Mitchell Marsh,16,12,2,1,133.33,out,T20I # 1839
new zealand vs australia,Australia,4,Glenn Maxwell,28,20,3,1,140.00,out,T20I # 1839
new zealand vs australia,Australia,5,Marcus Stoinis,7,14,0,0,50.00,out,T20I # 1839
new zealand vs australia,Australia,6,Tim David,11,8,0,1,137.50,out,T20I # 1839
new zealand vs australia,Australia,7,Matthew Wade,2,4,0,0,50.00,out,T20I # 1839
new zealand vs australia,Australia,8,Pat Cummins,21,18,2,1,116.66,out,T20I # 1839
new zealand vs australia,Australia,9,Mitchell Starc,4,7,0,0,57.14,out,T20I # 1839
new zealand vs australia,Australia,10,Adam Zampa,0,2,0,0,0.00,out,T20I # 1839
new zealand vs australia,Australia,11,Josh Hazlewood,1,1,0,0,100.00,not_out,T20I # 1839
afghanistan vs england,Afghanistan,1,Hazratullah Zazai,7,17,1,0,41.17,out,T20I # 1840
afghanistan vs england,Afghanistan,2,Rahmanullah Gurbaz,10,9,0,1,111.11,out,T20I # 1840
afghanistan vs england,Afghanistan,3,Ibrahim Zadran,32,32,3,1,100.00,out,T20I # 1840
afghanistan vs england,Afghanistan,4,Usman Ghani,30,30,3,0,100.00,out,T20I # 1840
afghanistan vs england,Afghanistan,5,Najibullah Zadran,13,11,0,1,118.18,out,T20I # 1840
afghanistan vs england,Afghanistan,6,Mohammad Nabi(c),3,5,0,0,60.00,out,T20I # 1840
afghanistan vs england,Afghanistan,7,Azmatullah Omarzai,8,6,1,0,133.33,out,T20I # 1840
afghanistan vs england,Afghanistan,8,Rashid Khan,0,1,0,0,0.00,out,T20I # 1840
afghanistan vs england,Afghanistan,9,Mujeeb Ur Rahman,0,1,0,0,0.00,out,T20I # 1840
afghanistan vs england,Afghanistan,10,Fareed Ahmad,2,4,0,0,50.00,not_out,T20I # 1840
afghanistan vs england,Afghanistan,11,Fazalhaq Farooqi,0,2,0,0,0.00,out,T20I # 1840
afghanistan vs england,England,1,Jos Buttler(c),18,18,3,0,100.00,out,T20I # 1840
afghanistan vs england,England,2,Alex Hales,19,20,0,1,95.00,out,T20I # 1840
afghanistan vs england,England,3,Dawid Malan,18,30,0,0,60.00,out,T20I # 1840
